词,提示1,提示2
香菇,流行词,2
蓝瘦,流行词,2
洪荒之力,流行词,4
老司机,流行词,3
一个亿,流行词,3
光刃,游戏词汇,2
炎天,游戏词汇,2
流光,游戏词汇,2
灵珑,游戏词汇,2
玉虚,游戏词汇,2
圣堂,游戏词汇,2
业刹,游戏词汇,2
公会,游戏词汇,2
蛋蛋,游戏词汇,2
阿童木,卡通人物,3
爱因斯坦,人名,4
按摩椅,生活用品,3
奥迪,品牌,2
奥林匹克,体育,4
奥运,体育,2
芭蕉扇,道具,3
巴黎圣母院,地名,5
白宫,地名,2
百合花,植物,3
白领,称谓,2
白雪公主,卡通人物,4
板栗,食品,2
棒球棒,体育,3
棒球帽,体育,3
爆米花,食物,3
包青天,人名,3
宝石,物品,2
包子,食物,2
北斗星,?,3
杯具,流行词,2
背心,物品,2
杯子,物品,2
彼岸花,植物,3
毕业证,物品,3
蝙蝠侠,卡通人物,3
鞭炮,物品,2
宾馆,地名,2
饼干,食物,2
布娃娃,物品,3
菜包,食物,2
菜刀,物品,2
路飞,卡通人物,2
茶叶,食物,2
叉子,物品,2
长城,地名,2
长江,地名,2
超级玛丽,卡通人物,4
超级赛亚人,卡通人物,5
赤壁,地名,2
臭豆腐,食品,3
抽油烟机,物品,4
触摸屏,物品,3
床单,物品,2
春联,物品,2
春天,季节,2
纯爷们,称谓,3
刺猬,动物,2
大炮,物品,2
大蒜,食物,2
鱼,食物,1
打印机,物品,3
袋鼠,动物,2
单人床,物品,3
刀叉,物品,2
登山杖,物品,3
地板,物品,2
电车,交通,2
剃须刀,物品,3
电饭锅,物品,3
电影,物品,2
电影院,地点,3
豆沙包,食物,3
多米诺骨牌,物品,5
恶魔,称谓,2
二郎神,卡通人物,3
二人转,表演形式,3
发带,物品,2
发动机,物品,3
阀门,物品,2
方便面,食物,3
凤梨,食物,2
枫树,植物,2
高尔夫,物品,3
鸽子,动物,2
公牛,动物,2
公文包,物品,3
工资,名称,2
股票,名称,2
古筝,物品,2
拐杖,物品,2
观音,人名,2
关羽,人名,2
广告,名称,2
国画,名称,2
国王,称谓,2
哈利波特,卡通人物,4
海浪,名称,2
海豚,动物,2
海象,动物,2
海藻,植物,2
含羞草,植物,3
贺年卡,物品,3
和尚,称谓,2
黑板,物品,2
黑猫,动物,2
黑眼圈,名称,3
红楼梦,书名,3
红绿灯,称谓,3
红色警戒,游戏词汇,4
呼啦圈,物品,3
湖南卫视,名称,4
胡子,名称,2
滑雪,名称,2
魂斗罗,游戏词汇,3
火鸡,动物,2
火炉,名称,2
火腿肠,名称,3
鸡脆骨,食品,3
计算机,名称,3
加勒比,地名,3
剑道,名称,2
剪刀石头布,名称,5
键盘,物品,2
江南,名称,2
交通警察,职业,4
界面,名称,2
金饭碗,名称,3
进化论,名称,3
金丝猴,动物,3
金鱼,动物,2
酒店,地点,2
菊花,植物,2
狙击枪,物品,3
举重,运动,2
凯迪拉克,品牌,4
康乃馨,植物,3
烤鱿鱼,食物,3
刻舟求剑,成语,4
课桌,物品,2
空格键,名称,3
空气,名称,2
空调,家电,2
口红,物品,2
快乐大本营,节目,5
葵花宝典,武功,4
蜡笔,物品,2
蜡烛,物品,2
老夫子,称谓,3
老婆饼,食物,3
老鼠,动物,2
礼服,物品,2
礼帽,物品,2
刘德华,人名,3
榴莲,食物,2
六神花露水,名称,5
龙虾,食物,2
录音机,物品,3
轮船,交通,2
轮椅,交通,2
落地窗,物品,3
罗盘,物品,2
绿巨人,卡通人物,3
律师,称谓,2
旅游鞋,物品,3
迈克尔杰克逊,人名,6
毛豆,食物,2
毛毛虫,动物,3
玫瑰花,植物,3
梅花鹿,动物,3
煤气炉,物品,3
美少女战士,卡通人物,5
猛男,称谓,2
米饭,食物,2
面板,物品,2
面包,食物,2
绵羊,动物,2
灭绝师太,武侠,4
名片,物品,2
明信片,物品,3
名字,名称,2
墨镜,物品,2
牧场,地点,2
木耳,食物,2
木乃伊,名称,3
母亲,称谓,2
沐浴露,物品,3
纽扣,物品,2
牛仔裤,物品,3
农村,名称,2
排骨,食物,2
排山倒海,名称,4
泡沫,名称,2
泡泡,名称,2
皮带,物品,2
披风,物品,2
乒乓球,体育,3
瓶子,物品,2
气球,物品,2
七夕,节日,2
签字笔,物品,3
芹菜,食物,2
兵马俑,名称,3
青春痘,名称,3
晴天娃娃,物品,4
蜻蜓点水,名称,4
青藏高原,地点,4
丘比特,名称,3
热带鱼,动物,3
热气球,名称,3
三角架,物品,3
三明治,食品,3
扫帚,物品,2
沙漠,地点,2
山丘,地点,2
扇子,物品,2
上网本,物品,3
上衣,名称,2
摄像头,名称,3
圣诞树,植物,3
世界,名称,2
石头,名称,2
石头剪刀布,名称,5
鼠标垫 ,名称,3
书房,地点,2
树木,植物,2
薯片,食物,2
数学,名称,2
水蜜桃,食物,3
水仙花,植物,3
斯巴达,名称,3
宿舍,地点,2
算盘,名称,2
索尼,品牌,2
台球,运动,2
弹簧,名称,2
天花板,名称,3
跳伞,运动,2
跳绳,运动,2
跳舞,运动,2
铁观音,食物,3
秃顶,名称,2
屠龙刀,游戏词汇,3
拖把,物品,2
鸵鸟,动物,2
娃娃鱼,动物,3
丸子,食物,2
围棋,名称,2
乌龟,动物,2
五行山,地名,3
西红柿,食物,3
犀牛,动物,2
下载,名称,2
咸蛋超人,卡通人物,4
显示器,名称,3
香格里拉,地名,4
香蕉皮,物品,3
相框,名称,2
小霸王,名称,3
性感,名称,2
星星,名称,2
猩猩,动物,2
熊猫眼,名称,3
熊掌,名称,2
漩涡,名称,2
巡洋舰,名称,3
衙门,名称,2
牙套,名称,2
眼镜,名称,2
洋葱,植物,2
氧气瓶,名称,3
阳台,名称,2
洋娃娃,玩具,3
钥匙扣,物品,3
椰树,植物,2
椰汁,食物,2
拥抱,名称,2
邮票,名称,2
元宵节,节日,3
圆周率,名称,3
原子弹,武器,3
月季花,植物,3
熨斗,名称,2
栈桥,地点,2
张三丰,人名,3
招财猫,名称,3
照片,名称,2
照妖镜,名称,3
折叠床,名称,3
蒸蒸日上,名称,4
痔疮,名称,2
纸巾盒,物品,3
指南针,物品,3
织女,卡通人物,2
直升飞机,名称,4
栀子花,植物,3
中央电视台,名称,5
中央空调,名称,4
猪鼻子,名称,3
主机,名称,2
猪脚,名称,2
桌球,名称,2
自由女神,名称,4
钻石,名称,2
最后的晚餐,名称,5
坐标,名称,2
